id,strain,sex,birthdate,start_bw,end_bw,TA,exp_id,start_datetime,end_datetime,genotype
QB-0029,Qrfp#0006(cre/+),female,2022-04-18,21.18,22.07,20,20220711_3_QTEST_20C_110,2022-07-12 08:00:00,2022-07-15 08:00:00,QB_hetero
QB-0031,Qrfp#0006(cre/+),female,2022-04-18,22.16,19.83,20,20220711_3_QTEST_20C_110,2022-07-12 08:00:00,2022-07-15 08:00:00,QB_hetero
QB-0034,Qrfp#0006(cre/+),male,2022-04-18,26.19,25.77,20,20220711_3_QTEST_20C_110,2022-07-12 08:00:00,2022-07-15 08:00:00,QB_hetero
QB-0076,Qrfp#0017(cre/+),male,2022-05-11,27.28,28,20,20220728_2_QTEST_20C_111,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0079,Qrfp#0017(cre/+),male,2022-05-11,25.59,25.47,20,20220728_2_QTEST_20C_111,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0081,Qrfp#0017(cre/+),male,2022-05-11,27.3,27.69,20,20220728_2_QTEST_20C_111,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0082,Qrfp#0017(cre/+),male,2022-05-11,24.88,25.5,20,20220728_2_QTEST_20C_111,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0069,Qrfp#0017(cre/+),male,2022-05-11,28.49,28.96,20,20220728_3_QTEST_20C_112,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0071,Qrfp#0017(cre/+),male,2022-05-11,30.24,31.12,20,20220728_3_QTEST_20C_112,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0073,Qrfp#0017(cre/+),male,2022-05-11,26.6,26.73,20,20220728_3_QTEST_20C_112,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0074,Qrfp#0017(cre/+),male,2022-05-11,27.25,27.34,20,20220728_3_QTEST_20C_112,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0075,Qrfp#0017(cre/+),male,2022-05-11,27.09,27.32,20,20220728_3_QTEST_20C_112,2022-07-28 08:00:00,2022-08-01 08:00:00,QB_hetero
QB-0065,Qrfp#0017(cre/+),male,2022-05-11,28.56,29.18,20,20220805_2_QTEST_20C_113,2022-08-05 08:00:00,2022-08-08 08:00:00,QB_hetero
QB-0063,Qrfp#0017(cre/+),male,2022-05-11,27.55,28.15,20,20220805_2_QTEST_20C_113,2022-08-05 08:00:00,2022-08-08 08:00:00,QB_hetero
QB-0060,Qrfp#0017(cre/+),male,2022-05-11,26.88,26.61,20,20220805_2_QTEST_20C_113,2022-08-05 08:00:00,2022-08-08 08:00:00,QB_hetero
QB-0095,Qrfp#0006(cre/+)_F2,male,2022-07-05,28.9,27.98,20,20221114_2_QTEST_20C_132,2022-11-14 08:00:00,2022-11-17 08:00:00,QB_hetero
QB-0097,Qrfp#0006(cre/+)_F2,male,2022-07-05,29.29,28.05,20,20221114_2_QTEST_20C_132,2022-11-14 08:00:00,2022-11-17 08:00:00,QB_hetero
QB-0099,Qrfp#0006(cre/+)_F2,male,2022-07-05,26.78,28.17,20,20221114_2_QTEST_20C_132,2022-11-14 08:00:00,2022-11-17 08:00:00,QB_hetero
QB-0109,Qrfp#0006(cre/+)_F3,male,2022-10-09,27.45,27.05,20,20230224_2_QTEST_20C_139,2023-02-24 08:00:00,2023-02-27 08:00:00,QB_hetero
QB-0113,Qrfp#0006(cre/+)_F3,male,2022-10-09,28.09,25.41,20,20230224_2_QTEST_20C_139,2023-02-24 08:00:00,2023-02-27 08:00:00,QB_hetero
QC-0109,QC#0025(cre/+)_F1,male,2023-09-08,25.92,24.68,20,20231222_4_QTEST_20C_191,2023-12-23 08:00:00,2023-12-26 08:00:00,QC_hetero
QC-0138,QC#0025(cre/+)_F2,male,2023-12-18,29.03,30.4,20,20240325_2_QTEST_20C_206,2024-03-26 08:00:00,2024-03-29 08:00:00,QC_hetero
QC-0139,QC#0025(cre/+)_F2,male,2023-12-18,30.89,28.93,20,20240325_2_QTEST_20C_206,2024-03-26 08:00:00,2024-03-29 08:00:00,QC_hetero
QC-0140,QC#0025(cre/+)_F2,male,2023-12-18,28.94,29.9,20,20240325_2_QTEST_20C_206,2024-03-26 08:00:00,2024-03-29 08:00:00,QC_hetero
QC-0145,QC#0025(cre/+)_F2,male,2023-12-18,31.99,33.27,20,20240325_2_QTEST_20C_206,2024-03-26 08:00:00,2024-03-29 08:00:00,QC_hetero
QC-0146,QC#0025(cre/+)_F2,male,2023-12-18,32.18,30.5,20,20240408_2_QTEST_20C_207,2024-04-09 08:00:00,2024-04-12 08:00:00,QC_hetero
QC-0147,QC#0025(cre/+)_F2,male,2023-12-18,37.42,34.49,20,20240408_2_QTEST_20C_207,2024-04-09 08:00:00,2024-04-12 08:00:00,QC_hetero
QC-0162,QC#0025(cre/+)_F3,male,2024-02-05,28.84,28.13,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0165,QC#0025(cre/+)_F3,male,2024-02-05,29.02,27.16,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0168,QC#0025(cre/+)_F3,male,2024-02-05,28.74,28.62,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0169,QC#0025(cre/+)_F3,male,2024-02-05,26.21,24.75,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0154,QC#0025(cre/+)_F3,male,2024-02-05,26.69,25.19,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0157,QC#0025(cre/+)_F3,male,2024-02-05,27.71,26.08,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0158,QC#0025(cre/+)_F3,male,2024-02-05,29.92,29,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0160,QC#0025(cre/+)_F3,male,2024-02-05,27.84,25.94,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QC-0161,QC#0025(cre/+)_F3,male,2024-02-05,27.85,25.35,20,20240430_4_QTEST_20C_209,2024-04-30 08:00:00,2024-05-03 08:00:00,QC_hetero
QD-0050,QD#0008(cre-delta-pA/+)_F1,male,2023-06-09,24.81,23.93,20,20230828_4_QTEST_20C_171,2023-08-28 08:00:00,2023-08-31 08:00:00,QD_hetero
QD-0051,QD#0008(cre-delta-pA/+)_F1,male,2023-06-09,24.88,24.95,20,20230828_4_QTEST_20C_171,2023-08-28 08:00:00,2023-08-31 08:00:00,QD_hetero
QD-0055,QD#0008(cre-delta-pA/+)_F1,male,2023-06-16,28.25,28.53,20,20230828_4_QTEST_20C_171,2023-08-28 08:00:00,2023-08-31 08:00:00,QD_hetero
QD-0084,QD#0007(cre-delta-pA/+)_F1,male,2023-08-22,27.86,28.34,20,20231204_3_QTEST_20C_186,2023-12-05 08:00:00,2023-12-08 08:00:00,QD_hetero
QD-0087,QD#0007(cre-delta-pA/+)_F1,male,2023-08-22,27.65,28.54,20,20231204_3_QTEST_20C_186,2023-12-05 08:00:00,2023-12-08 08:00:00,QD_hetero
QD-0095,QD#0012(cre-delta-pA/+)_F1,male,2023-10-12,27.3,27.05,20,20240115_4_QTEST_20C_195,2024-01-16 08:00:00,2024-01-19 08:00:00,QD_hetero
QD-0096,QD#0012(cre-delta-pA/+)_F1,male,2023-10-12,28.37,25.24,20,20240115_4_QTEST_20C_195,2024-01-16 08:00:00,2024-01-19 08:00:00,QD_hetero
QD-0102,QD#0012(cre-delta-pA/+)_F1,male,2023-11-07,24.57,24.18,20,20240318_2_QTEST_20C_204,2024-03-19 08:00:00,2024-03-22 08:00:00,QD_hetero
QD-0112,QD#0007(cre-delta-pA/+)_F2,male,2023-12-18,26.78,27.19,20,20240325_2_QTEST_20C_206,2024-03-26 08:00:00,2024-03-29 08:00:00,QD_hetero
QD-0126,QD#0011(cre-delta-pA/+)_F2,male,2023-12-22,28.28,27.4,20,20240408_2_QTEST_20C_207,2024-04-09 08:00:00,2024-04-12 08:00:00,QD_hetero
QD-0127,QD#0011(cre-delta-pA/+)_F2,male,2023-12-22,26.68,27.44,20,20240408_2_QTEST_20C_207,2024-04-09 08:00:00,2024-04-12 08:00:00,QD_hetero
QD-0130,QD#0008(cre-delta-pA/+)_F2,male,2024-02-29,27.52,28.1,20,20240610_3_QTEST_20C_217,2024-06-11 08:00:00,2024-06-14 08:00:00,QD_hetero
QD-0131,QD#0008(cre-delta-pA/+)_F2,male,2024-02-29,29.58,29.78,20,20240610_3_QTEST_20C_217,2024-06-11 08:00:00,2024-06-14 08:00:00,QD_hetero
